Timestamp,Model,SN,MAC,CPU,Memory,RxPower,TxPower,Temp,Voltage,DeviceCount,ConnectedDevices
2025-12-14 15:03:02,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,9%,48%,--,--,42,3248,0,
2025-12-14 15:04:30,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,12%,48%,--,--,41,3274,0,
2025-12-14 15:04:55,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,11%,48%,--,--,41,3274,0,
2025-12-14 15:05:30,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,5%,48%,--,--,41,3274,15,NPCGHOTECHLAP0208(192.168.100.171); NPCGHOTECHLAP0208(192.168.100.172); iPhone(192.168.100.173); Watch(192.168.100.174); Prakash_Lap(192.168.100.175); NPCGHOTECHLAP0208(192.168.100.171); NPCGHOTECHLAP0208(192.168.100.172); iPhone(192.168.100.173); Watch(192.168.100.174); Prakash_Lap(192.168.100.175); NPCGHOTECHLAP0208(192.168.100.171); NPCGHOTECHLAP0208(192.168.100.172); iPhone(192.168.100.173); Watch(192.168.100.174); Prakash_Lap(192.168.100.175)
2025-12-14 15:06:04,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,5%,48%,--,--,42,3261,5,NPCGHOTECHLAP0208(192.168.100.171); NPCGHOTECHLAP0208(192.168.100.172); iPhone(192.168.100.173); Watch(192.168.100.174); Prakash_Lap(192.168.100.175)
2025-12-14 15:13:06,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,16%,45%,--,--,41,3261,1,Prakash_Lap(192.168.100.175)
2025-12-14 15:15:08,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,7%,45%,--,--,41,3261,1,Prakash_Lap(192.168.100.175)
2025-12-14 15:17:11,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,8%,46%,--,--,41,3261,2,Prakash_Lap(192.168.100.175); iPhone(192.168.100.173)
2025-12-14 15:19:14,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,52%,51%,--,--,42,3261,3,Prakash_Lap(192.168.100.175); iPhone(192.168.100.173); NPCGHOTECHLAP0208(192.168.100.172)
2025-12-14 15:20:48,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,65%,51%,--,--,42,3287,3,Prakash_Lap(192.168.100.175); iPhone(192.168.100.173); NPCGHOTECHLAP0208(192.168.100.172)
2025-12-14 15:21:18,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,69%,52%,--,--,43,3248,3,Prakash_Lap(192.168.100.175); iPhone(192.168.100.173); NPCGHOTECHLAP0208(192.168.100.172)
2025-12-14 15:22:53,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,70%,51%,--,--,42,3248,3,Prakash_Lap(192.168.100.175); iPhone(192.168.100.173); NPCGHOTECHLAP0208(192.168.100.172)
2025-12-14 15:23:24,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,93%,52%,--,--,43,3274,3,Prakash_Lap(192.168.100.175); iPhone(192.168.100.173); NPCGHOTECHLAP0208(192.168.100.172)
2025-12-14 15:24:59,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,68%,52%,--,--,43,3274,3,Prakash_Lap(192.168.100.175); iPhone(192.168.100.173); NPCGHOTECHLAP0208(192.168.100.172)
2025-12-14 15:25:29,HG8145X6-10,48575443527F8CB1,EC:7C:2C:09:74:C4,57%,52%,--,--,42,3274,3,Prakash_Lap(192.168.100.175); iPhone(192.168.100.173); NPCGHOTECHLAP0208(192.168.100.172)
